"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 16:28:06 IST 2023","Thu Jun 22 16:28:10 IST 2023","4162","","Running the contanct us functionlity","","","","Input values text and adding all types of Expect condition",""
"passed","Thu Jun 22 16:28:10 IST 2023","Thu Jun 22 16:28:11 IST 2023","1005","","Running the contanct us functionlity","","","","Element Matchers Validation",""
